emotion;hashtag;value
anticipation;#excitement;1,53897E+14
anticipation;announcement;1,53034E+13
anticipation;anticipating;1,51964E+14
anticipation;eager;1,51154E+14
anticipation;#ofcourse;1,49988E+14
anticipation;#curious;1,49647E+14
anticipation;towers;1,49554E+14
anticipation;stocks;1,49554E+14
anticipation;fascinated;1,49554E+14
anticipation;ancient;1,49554E+14
anticipation;debates;1,49026E+14
anticipation;jfk;1,49026E+14
anticipation;debut;1,49026E+14
anticipation;sony;1,48371E+14
anticipation;cp;1,48371E+14
anticipation;announcements;1,47979E+14
anticipation;#results;1,47534E+14
anticipation;seal;1,47534E+14
anticipation;suggests;1,47534E+14
anticipation;crocodile;1,47534E+14
anticipation;#baby;1,47338E+14
anticipation;festivals;1,46429E+14
anticipation;#summer2013;1,46429E+14
anticipation;philosophical;1,46429E+14
anticipation;666;1,46429E+14
anticipation;kirby;1,46429E+14
anticipation;cuse;1,46429E+14
anticipation;distinct;1,46429E+14
anticipation;recruiting;1,46429E+14
anticipation;hebrew;1,46429E+14
anticipation;durham;1,46429E+14
anticipation;bowlers;1,46429E+14
anticipation;gras;1,46429E+14
anticipation;jukebox;1,46429E+14
anticipation;ignite;1,46429E+14
anticipation;#standard;1,46429E+14
anticipation;catchers;1,46429E+14
anticipation;europa;1,46429E+14
anticipation;alec;1,46429E+14
anticipation;2014;1,43897E+14
anticipation;reasoning;1,43897E+14
anticipation;#anyone;1,43897E+14
anticipation;#pop;1,43897E+14
anticipation;00pm;1,43513E+14
anticipation;hmm;1,43379E+14
anticipation;awaiting;1,43185E+14
anticipation;announced;1,4285E+14
anticipation;aliens;1,42655E+14
anticipation;#suspense;1,42655E+14
anticipation;#eager;1,42655E+14
anticipation;interest;1,41917E+14
anticipation;internships;1,4108E+14
anticipation;#moms;1,4108E+14
anticipation;fasting;1,4108E+14
anticipation;prospects;1,4108E+14
anticipation;webb;1,40457E+14
anticipation;anxiously;1,40123E+14
anticipation;programmes;1,40008E+13
anticipation;hmmmmm;1,39915E+14
anticipation;raider;1,39018E+14
anticipation;orgasm;1,39018E+14
anticipation;#dedicated;1,39018E+14
anticipation;20/20;1,39018E+14
anticipation;gangs;1,39018E+14
anticipation;melo;1,39018E+14
anticipation;#insidedeathrow;1,39018E+14
anticipation;#keen;1,39018E+14
anticipation;gimp;1,39018E+14
anticipation;santas;1,39018E+14
anticipation;diapers;1,39018E+14
anticipation;consensus;1,39018E+14
anticipation;investigation;1,39018E+14
anticipation;raffle;1,39018E+14
anticipation;carroll;1,39018E+14
anticipation;conspiracy;1,38573E+13
anticipation;announce;1,37882E+14
anticipation;curious;1,37728E+14
anticipation;#geek;1,37728E+14
anticipation;ahem;1,37248E+14
anticipation;religions;1,37248E+14
anticipation;previews;1,37248E+14
anticipation;electoral;1,37248E+14
anticipation;#surprises;1,37248E+14
anticipation;announcing;1,36844E+14
anticipation;regional;1,36201E+14
anticipation;2nite;1,36201E+14
anticipation;amish;1,35893E+14
anticipation;anticipation;1,35628E+13
anticipation;teasing;1,35509E+14
anticipation;gambling;1,35017E+14
anticipation;#ahs;1,35017E+14
anticipation;farming;1,35017E+14
anticipation;employed;1,35017E+14
anticipation;craigslist;1,35017E+14
anticipation;#tooexcited;1,35017E+14
anticipation;psyched;1,35017E+14
anticipation;blackburn;1,35017E+14
anticipation;hm;1,35017E+14
anticipation;naming;1,35017E+14
anticipation;rookie;1,35017E+14
anticipation;heinz;1,35017E+14
anticipation;verdict;1,34366E+14
anticipation;afc;1,34366E+14
anticipation;carnival;1,33954E+14
anticipation;bop;1,33954E+14
anticipation;according;1,32862E+14
anticipation;pumped;1,32447E+14
anticipation;350;1,32119E+14
anticipation;ajax;1,32119E+14
anticipation;rts;1,32119E+14
anticipation;anticipate;1,32119E+14
anticipation;bats;1,32119E+14
anticipation;released;1,32119E+14
anticipation;dinosaurs;1,32119E+14
anticipation;affairs;1,32119E+14
anticipation;s4;1,32119E+14
anticipation;outcomes;1,32119E+14
anticipation;roles;1,32119E+14
anticipation;mardi;1,32119E+14
anticipation;hopping;1,32119E+14
anticipation;#dontjudge;1,32119E+14
anticipation;cultures;1,32119E+14
anticipation;joins;1,32119E+14
anticipation;brands;1,32119E+14
anticipation;carbon;1,32119E+14
anticipation;owed;1,32119E+14
anticipation;psy;1,32119E+14
anticipation;gals;1,32119E+14
anticipation;dissecting;1,32119E+14
anticipation;#huh;1,32119E+14
anticipation;reds;1,32119E+14
anticipation;rm;1,32119E+14
anticipation;screening;1,32119E+14
anticipation;scientific;1,32119E+14
anticipation;dominant;1,32119E+14
anticipation;forwards;1,32119E+14
anticipation;interested;1,31407E+14
anticipation;lineup;1,31171E+14
anticipation;rumour;1,30949E+14
anticipation;roughly;1,30949E+14
anticipation;polls;1,30794E+14
anticipation;downing;1,30317E+14
anticipation;giddy;1,29921E+14
anticipation;championships;1,29921E+14
anticipation;giraffe;1,29921E+14
anticipation;#knowledge;1,29921E+14
anticipation;pacific;1,29921E+14
anticipation;presidents;1,29921E+14
anticipation;release;1,29826E+13
anticipation;trey;1,29543E+14
anticipation;#cannotwait;1,29302E+14
anticipation;wondered;1,29302E+14
anticipation;published;1,29302E+14
anticipation;#wondering;1,29302E+14
anticipation;triangle;1,29302E+14
anticipation;mormon;1,29302E+14
anticipation;observe;1,29302E+14
anticipation;cj;1,29302E+14
anticipation;nolan;1,29302E+14
anticipation;suspense;1,29302E+14
anticipation;2016;1,29302E+14
anticipation;ronaldo;1,2901E+13
anticipation;bcs;1,2884E+14
anticipation;hmu;1,28197E+14
anticipation;hughes;1,28197E+14
anticipation;rockin;1,28197E+14
anticipation;lp;1,28197E+14
anticipation;cocaine;1,28197E+14
anticipation;attenborough;1,2777E+14
anticipation;stanley;1,2724E+13
anticipation;#needtoknow;1,2724E+13
anticipation;#nw;1,2724E+13
anticipation;linings;1,2724E+13
anticipation;#ohboy;1,25665E+14
anticipation;wale;1,25665E+14
anticipation;junkie;1,25665E+14
anticipation;bishop;1,25665E+14
anticipation;describing;1,25665E+14
anticipation;additional;1,25665E+14
anticipation;theaters;1,25665E+14
anticipation;observation;1,25665E+14
anticipation;#learning;1,25665E+14
anticipation;pix;1,25665E+14
anticipation;ambassador;1,25665E+14
anticipation;corps;1,25665E+14
anticipation;beau;1,25665E+14
anticipation;innovation;1,25665E+14
anticipation;translation;1,25665E+14
anticipation;marvel;1,25665E+14
anticipation;reunite;1,25665E+14
anticipation;#nowwatching;1,25665E+14
anticipation;epiphany;1,25665E+14
anticipation;votes;1,25166E+14
anticipation;meek;1,24708E+14
anticipation;#passion2013;1,24708E+14
anticipation;13th;1,24708E+14
